User-ID;ISBN;Book-Rating
242;0553278223;10
242;3150000335;10
242;3257203659;9
242;3257207522;10
242;3257208626;8
242;3257208634;10
242;3257208669;9
242;3257210450;10
242;3257212054;10
242;3257212429;10
242;3257214154;9
242;3257216416;7
242;3257233051;9
242;342311360X;10
242;3453212150;7
242;3492045642;8
242;3498020862;8
242;3499110695;7
242;3499151502;9
242;3548254268;10
242;3570300099;6
242;3596292646;7
254;0060502320;7
254;0060934700;9
254;0060976977;7
254;0064471047;7
254;0066238501;5
254;0142001740;9
254;0312863934;9
254;0373033605;5
254;0373162669;5
254;0373226063;6
254;0373226144;5
254;0373243944;5
254;0373243979;4
254;0373709889;5
254;0373810431;7
254;0373810601;6
254;0373834446;8
254;0373834489;9
254;0373836023;7
254;0375756469;9
254;037582345X;9
254;0375823468;9
254;0380730448;8
254;0380789035;10
254;0380810492;7
254;0380817845;8
254;0380973634;10
254;0380973650;9
254;0380973839;9
254;0380977281;8
254;038097827X;8
254;0399146431;9
254;0439064864;9
254;0439064872;9
254;0439136350;9
254;0439136369;9
254;0439139597;9
254;0446341932;5
254;0451167317;8
254;0451406176;6
254;0451409256;7
254;0451524934;9
254;0451526341;8
254;0553263633;8
254;0553280325;8
254;0590353403;9
254;0618002219;9
254;0618002227;8
254;0671021001;7
254;0679879242;8
254;0681415207;7
254;1556520743;9
254;156389226X;9
254;1563895730;9
254;1567310877;8
254;156971620X;9
254;1931081727;9
388;0060973897;8
388;0060976845;3
388;006101351X;6
388;0140104682;6
388;039456894X;8
388;0449002632;7
388;0449213773;10
388;0452279690;10
388;0553569058;10
388;0679725393;9
388;0802114369;8
388;0819154946;8
388;0897322339;7
388;0940322978;4
388;1573225126;5
388;1579651658;8
388;1878424319;7
392;8427007450;10
392;8429725792;7
392;8474103347;7
392;8475960650;5
392;8475960936;9
392;8476021844;5
392;8477270120;5
392;8478092943;7
392;8478098267;9
392;8478884963;9
503;0140179836;10
503;0345348656;8
503;0373076746;7
503;0385483724;8
503;0385496095;10
503;0395798671;10
503;0439099404;10
503;0440241006;10
503;0440508827;10
503;0515131679;8
503;068484267X;10
503;0805009086;10
503;0809244942;10
503;0892819774;10
505;006017143X;9
505;0345313860;7
505;0385306032;8
505;038549825X;8
505;042517736X;7
505;0553202294;8
505;0671868713;8
505;0679401377;8
505;0805056491;9
505;0816152446;7
505;1562827049;8
638;0060191929;9
638;0140107649;10
638;0140128107;10
638;0151000719;10
638;0151001006;10
638;0316603287;9
638;0316666343;10
638;0316693006;10
638;0316693200;9
638;0316769487;10
638;0316776963;10
638;0316779423;10
638;0316779490;9
638;0316789089;10
638;0316969443;10
638;0345339711;10
638;0345428900;8
638;0375400699;10
638;0380978539;8
638;0385420161;9
638;0385470819;9
638;0385500769;10
638;0385504209;10
638;0385505833;10
638;0394574745;8
638;0399148582;9
638;0425184129;9
638;0446523569;10
638;0446525502;9
638;0446525537;9
638;0446527793;10
638;0446531332;10
638;0525943862;8
638;052594463X;9
638;0609605925;8
638;0609606727;8
638;0670892963;7
638;0671042556;9
638;0679410430;10
638;0679419624;10
638;0679442790;10
638;0679603352;10
638;067972768X;10
638;0679732241;9
638;0679746048;7
638;0684874318;10
638;0688180639;9
638;0743230051;9
638;0743406176;10
638;0842336214;7
638;1558747028;10
638;1558747346;8
638;1570717257;9
643;0007100221;7
643;0061092606;8
643;0140366660;9
643;0140366857;9
643;0140622063;8
643;0198604025;7
643;0416196772;8
643;057120354X;5
643;0571209521;7
643;0671894455;7
643;0743222229;8
643;0743462335;8
643;0747538069;8
643;0752804510;8
643;0890877564;8
643;1405200677;8
643;1841950521;9
643;1841952931;8
643;1853260002;2
